2019-04-14 21:14:44 | yaf.error | 8908 | 5cb332448c267 | 1555247684.655 | Unable to find config file 'D:\item\blogger/conf/adminwxunscn.ini' | D:\item\blogger\app\Bootstrap.php in line 106
2019-04-14 21:16:10 | yaf.error | 8908 | 5cb3329a9dacf | 1555247770.674 | Yaf\Router::addConfig(): Unable to initialize route named 'route' | D:\item\blogger\app\Bootstrap.php in line 107
2019-04-14 21:16:27 | yaf.error | 8908 | 5cb332ab55dfa | 1555247787.432 | There is no module Adminwxunscn | D:\item\blogger\public\index.php in line 12
2019-04-14 21:17:56 | yaf.error | 8908 | 5cb3330410aab | 1555247876.143 | There is no module Adminwxunscn | D:\item\blogger\public\index.php in line 12
2019-04-14 21:17:59 | yaf.error | 8908 | 5cb33307ba792 | 1555247879.821 | There is no module Adminwxunscn | D:\item\blogger\public\index.php in line 12
2019-04-14 21:20:53 | yaf.error | 8908 | 5cb333b5240a0 | 1555248053.225 | Argument 2 passed to Twig\Environment::render() must be of the type array, null given, called in D:\item\blogger\app\library\Twig\Adapter.php on line 92 | D:\item\blogger\vendor\twig\twig\src\Environment.php in line 317
2019-04-14 21:21:27 | yaf.error | 8908 | 5cb333d77444d | 1555248087.563 | Argument 2 passed to Twig\Environment::render() must be of the type array, null given, called in D:\item\blogger\app\library\Twig\Adapter.php on line 92 | D:\item\blogger\vendor\twig\twig\src\Environment.php in line 317
2019-04-14 21:21:58 | yaf.error | 8908 | 5cb333f64480f | 1555248118.451 | Unable to find template "index/admin/index.twig.twig" (looked into: D:\item\blogger/resources/views). | D:\item\blogger\vendor\twig\twig\src\Loader\FilesystemLoader.php in line 239
2019-04-14 21:22:08 | yaf.error | 8908 | 5cb333ffe9f4e | 1555248128.21 | Unable to find template "index/admin/index.twig" (looked into: D:\item\blogger/resources/views). | D:\item\blogger\vendor\twig\twig\src\Loader\FilesystemLoader.php in line 239
2019-04-14 21:22:21 | yaf.error | 8908 | 5cb3340d3f1c5 | 1555248141.326 | Unable to find template "index/admin/index.twig" (looked into: D:\item\blogger/resources/views). | D:\item\blogger\vendor\twig\twig\src\Loader\FilesystemLoader.php in line 239
2019-04-14 21:23:20 | yaf.error | 8908 | 5cb33448940e9 | 1555248200.693 | Unable to find template "index/admin/index.twig" (looked into: D:\item\blogger/resources/views). | D:\item\blogger\vendor\twig\twig\src\Loader\FilesystemLoader.php in line 239
2019-04-14 21:23:45 | yaf.error | 8908 | 5cb33461026fc | 1555248225.77 | Argument 2 passed to Twig\Environment::render() must be of the type array, null given, called in D:\item\blogger\app\library\Twig\Adapter.php on line 92 | D:\item\blogger\vendor\twig\twig\src\Environment.php in line 317
2019-04-14 21:23:50 | yaf.error | 8908 | 5cb3346628011 | 1555248230.239 | Unable to find template "index/admin/index.twig" (looked into: D:\item\blogger/resources/views). | D:\item\blogger\vendor\twig\twig\src\Loader\FilesystemLoader.php in line 239
2019-04-14 21:29:10 | yaf.error | 8908 | 5cb335a6ac43f | 1555248550.784 | Undefined property: IndexController::$_script_path | D:\item\blogger\app\modules\Adminwxunscn\controllers\Index.php in line 8
2019-04-14 21:29:45 | yaf.error | 8908 | 5cb335c9ac93a | 1555248585.845 | Undefined property: IndexController::$_script_path | D:\item\blogger\app\modules\Adminwxunscn\controllers\Index.php in line 9
